"","vert_name_chn","degree2","betweenness2","closeness2","clust_coeff2","pagerank2","eigen_c2"
"76",76,26,52.9033598408833,0.00108459869848156,0.587692307692308,0.00199138886955868,0.198754802072571
"77",77,27,580.938291046345,0.001085776330076,0.461538461538462,0.00275446704270513,0.167807200179818
"78",78,56,300.182155758806,0.00118623962040332,0.52987012987013,0.00391804602199544,0.419138624650591
"79",79,13,1.84935999491104,0.00103305785123967,0.794871794871795,0.001149688388964,0.10951679883698
"80",80,14,24.737773320731,0.00098135426889107,0.615384615384615,0.00143063932751025,0.0812624676161768
"81",81,1,0,0.000746825989544436,0,0.000443857560340684,0.00230764428216558
"82",82,7,0.153846153846154,0.000938086303939962,0.952380952380952,0.000809778640417705,0.0475933704479397
"83",83,6,0.708950999816396,0.000906618313689937,0.933333333333333,0.00081883435588167,0.0293960168095774
"84",84,7,2.13298065735734,0.000936329588014981,0.857142857142857,0.000882149720973957,0.0409694594252403
"85",85,13,24.810239936368,0.000964320154291225,0.807692307692308,0.00130629273415274,0.073502663635975
"86",86,149,3172.30224122281,0.00139082058414465,0.31180845274805,0.010347720504143,0.872423508015025
"87",87,53,745.093039558873,0.00118343195266272,0.563860667634253,0.00406874283138232,0.408138583878135
"88",88,18,205.884474633973,0.00104712041884817,0.633986928104575,0.00169270301713889,0.130682645071073
"89",89,41,156.966732090409,0.00113636363636364,0.554878048780488,0.00299023278054292,0.300091492487833
"90",90,23,281.894362536274,0.00107066381156317,0.517786561264822,0.00204402683167436,0.153615626219783
"91",91,7,1.03293874808812,0.000912408759124088,0.714285714285714,0.000835561605893857,0.0347472611531493
"92",92,79,312.277276017554,0.00123609394313968,0.51671535215839,0.00515337421892523,0.591651011875744
"93",93,41,167.357439560854,0.0011441647597254,0.537804878048781,0.0029188834265175,0.306498343866827
"94",94,6,1.30765861623274,0.000892857142857143,0.8,0.000737166140448929,0.0328540432735104
"95",95,169,3582.44580541382,0.00145772594752187,0.271484925331079,0.0114042563999194,0.934521682815856
"96",96,156,2853.76819849372,0.00141442715700141,0.288089330024814,0.0105152984198533,0.884563091800615
"97",97,25,13.8255042254595,0.00106951871657754,0.59,0.00184128216863766,0.17327016959557
"98",98,91,504.750129309231,0.00126582278481013,0.461294261294261,0.00588283780226939,0.643386820652618
"99",99,35,359.004311285207,0.00110619469026549,0.391596638655462,0.0027922821523259,0.199446864382583
"100",100,32,152.433720931234,0.00109529025191676,0.4375,0.00244601076231165,0.19330038401534
"101",101,2,0,0.00086281276962899,1,0.000473219027468528,0.0161361758741016
"102",102,117,1095.19388164985,0.00132275132275132,0.396846448570586,0.00764093376862298,0.764965821842713
"103",103,57,482.220108279911,0.00118623962040332,0.495614035087719,0.00406142522676511,0.408424078831683
"104",104,11,9.74017407097264,0.000910746812386157,0.6,0.00112987977610942,0.0494359733272711
"105",105,73,953.80402114167,0.00121951219512195,0.420471841704718,0.0051196684735258,0.472302710633937
"106",106,4,0,0.000838222967309304,1,0.000627151242733382,0.0162287383578541
"107",107,3,0,0.000725689404934688,1,0.000949090917269932,0.00150343776070654
"108",108,17,173.07203103146,0.00101214574898785,0.463235294117647,0.00175084180679699,0.0832367223604976
"109",109,3,0,0.00076103500761035,1,0.00060912543344253,0.00479112733912307
"110",110,106,1506.68962512998,0.00129533678756477,0.392991913746631,0.00730990098923731,0.692625935580869
"111",111,64,205.825902724146,0.00120192307692308,0.529265873015873,0.00424922175513351,0.473884274141268
"112",112,1,0,0.000858369098712446,0,0.000414286688405661,0.0108889592195589
"113",113,134,2178.7153597307,0.00135869565217391,0.340141398271799,0.00918369740334203,0.82143735113464
"114",114,22,2.19429759284284,0.00107066381156317,0.818181818181818,0.00160026849515003,0.201072039419473
"115",115,27,30.4155096080532,0.00109529025191676,0.592592592592593,0.00199404641697344,0.202593728086548
"116",116,141,1290.34495131933,0.00136798905608755,0.34549138804458,0.00908983309473926,0.876673281942686
"117",117,150,2356.69647882478,0.00138504155124654,0.302102908277405,0.00996615916491448,0.872700931708363
"118",118,109,638.063159974329,0.00130890052356021,0.422018348623853,0.00701420496998482,0.736916551403406
"119",119,4,0.326725725255137,0.000904159132007233,0.5,0.000602045262767788,0.0256011622472356
