"","vert_name_com","degree","betweenness","closeness","clust_coeff","pagerank","eigen_c"
"88",88,31,385.591690096757,0.00111982082866741,0.481720430107527,0.00323019000882562,0.264013985010407
"89",89,24,350.493671324916,0.00105596620908131,0.38768115942029,0.00266808963322758,0.1719140745823
"90",90,8,32.9772168785339,0.000914913083257091,0.607142857142857,0.00117253306030516,0.0411511998420243
"91",91,51,212.943972115651,0.00116009280742459,0.550588235294118,0.00440964233584306,0.475018575007943
"92",92,34,248.258344636469,0.00110132158590308,0.358288770053476,0.0033819778771022,0.210479958167702
"93",93,8,4.18098788998523,0.000921658986175115,0.821428571428571,0.0010633078946533,0.0468786065776895
"94",94,122,2704.26381176619,0.00136054421768707,0.287223953393849,0.0105801664998446,0.852107569264635
"95",95,123,4090.78802342329,0.00135685210312076,0.27802212448354,0.0112921392051833,0.843332540176187
"96",96,8,3.0104906230782,0.000967117988394584,0.571428571428571,0.000996948173569527,0.0678868853554097
"97",97,48,241.86165849376,0.00118764845605701,0.569148936170213,0.00417463966293713,0.470343326646884
"98",98,32,542.266025348052,0.00109051254089422,0.278225806451613,0.00341292666525243,0.179221342045327
"99",99,19,85.145303369405,0.00102564102564103,0.345029239766082,0.00205231356613906,0.123147623087751
"100",100,3,0.125,0.000843170320404722,0.666666666666667,0.000631363208938305,0.015886165023906
"101",101,51,517.730142064452,0.00118343195266272,0.429803921568627,0.00469050281346069,0.394196382327547
"102",102,68,1460.14924688707,0.00122549019607843,0.340649692712906,0.00642982812442427,0.473550954878193
"103",103,16,94.1783905566227,0.000977517106549365,0.483333333333333,0.00203478823168921,0.0683650486722678
"104",104,55,1307.80780200278,0.00115340253748558,0.275420875420875,0.00566168772653587,0.290132183971325
"105",105,6,3.23463231641499,0.000839630562552477,0.733333333333333,0.00105947395169384,0.0165752913550312
"106",106,3,0,0.000677506775067751,1,0.00151610507458366,0.000718107654117136
"107",107,9,203.959770621164,0.000914076782449726,0.611111111111111,0.00158108368788166,0.0321134807278571
"108",108,3,1.53222068421601,0.000834028356964137,0.333333333333333,0.000691810438477446,0.0128238017282499
"109",109,90,2310.19033306283,0.00125470514429109,0.316354556803995,0.00842745777742111,0.651075390636767
